ID,BedrijfskenmerkenSBI2008,Perioden,Ziekteverzuimpercentage_1
638,307500 ,2011KW04,5.3
639,307500 ,2011JJ00,5.2
640,307500 ,2012KW01,5.5
641,307500 ,2012KW02,4.9
642,307500 ,2012KW03,4.6
643,307500 ,2012KW04,5.2
644,307500 ,2012JJ00,5.0
645,307500 ,2013KW01,5.7
646,307500 ,2013KW02,4.7
647,307500 ,2013KW03,4.4
648,307500 ,2013KW04,4.9
649,307500 ,2013JJ00,4.9
650,307500 ,2014KW01,4.9
651,307500 ,2014KW02,4.6
652,307500 ,2014KW03,4.4
653,307500 ,2014KW04,5.1
654,307500 ,2014JJ00,4.8
655,307500 ,2015KW01,5.5
656,307500 ,2015KW02,4.5
657,307500 ,2015KW03,4.3
658,307500 ,2015KW04,4.9
659,307500 ,2015JJ00,4.8
660,307500 ,2016KW01,5.5
661,307500 ,2016KW02,4.6
662,307500 ,2016KW03,4.3
663,307500 ,2016KW04,5.0
664,307500 ,2016JJ00,4.8
665,307500 ,2017KW01,5.4
666,307500 ,2017KW02,4.8
667,307500 ,2017KW03,4.6
668,307500 ,2017KW04,5.3
669,307500 ,2017JJ00,5.0
670,307500 ,2018KW01,6.1
671,307500 ,2018KW02,5.1
672,307500 ,2018KW03,5.0
673,307500 ,2018KW04,5.4
674,307500 ,2018JJ00,5.4
675,307500 ,2019KW01,5.8
676,307500 ,2019KW02,5.3
677,307500 ,2019KW03,5.0
678,307500 ,2019KW04,5.6
679,307500 ,2019JJ00,5.4
680,307500 ,2020KW01,6.7
681,307500 ,2020KW02,5.8
682,307500 ,2020KW03,5.4
683,307500 ,2020KW04,6.1
684,307500 ,2020JJ00,6.0
685,307500 ,2021KW01,5.8
686,307500 ,2021KW02,5.8
687,307500 ,2021KW03,5.4
688,307500 ,2021KW04,6.5
689,307500 ,2021JJ00,5.9
690,307500 ,2022KW01,7.4
691,307500 ,2022KW02,6.3
692,307500 ,2022KW03,5.9
693,307500 ,2022KW04,6.6
